timestamp,heart_rate,blood_oxygen,activity_level,sleep_hours,anomaly
2025-11-01 00:00:00,95,93,moderate,6.9192709665536425,Normal
2025-11-01 01:00:00,98,98,moderate,7.531300567814893,Normal
2025-11-01 02:00:00,75,99,moderate,6.4183534648270335,Normal
2025-11-01 03:00:00,66,94,moderate,5.432686699326346,Normal
2025-11-01 04:00:00,67,94,moderate,6.089010076275462,Normal
2025-11-01 05:00:00,76,96,low,5.64411290496541,Normal
2025-11-01 06:00:00,87,90,moderate,6.192640342621171,Normal
2025-11-01 07:00:00,90,97,moderate,6.690465571708753,Normal
2025-11-01 08:00:00,90,94,high,7.7794308032702135,Normal
2025-11-01 09:00:00,60,91,high,6.589038220687744,Normal
2025-11-01 10:00:00,87,94,high,5.549403169198569,Normal
2025-11-01 11:00:00,75,96,low,5.37673786023629,Normal
2025-11-01 12:00:00,98,96,low,7.194860304943452,Normal
2025-11-01 13:00:00,97,90,moderate,6.287443503410911,Normal
2025-11-01 14:00:00,87,99,low,7.125464733776903,Normal
2025-11-01 15:00:00,94,94,low,6.101631951694026,Normal
2025-11-01 16:00:00,81,98,high,6.094804609588971,Normal
2025-11-01 17:00:00,94,92,high,5.715339488750647,Normal
2025-11-01 18:00:00,70,94,moderate,6.532484514871782,Normal
2025-11-01 19:00:00,71,91,high,6.029800980494938,Normal
2025-11-01 20:00:00,60,94,low,7.073781305204983,Normal
2025-11-01 21:00:00,89,96,high,7.99051384196548,Normal
2025-11-01 22:00:00,62,96,moderate,7.216247954506309,Normal
2025-11-01 23:00:00,73,97,moderate,7.399640050268529,Normal
2025-11-02 00:00:00,82,97,moderate,6.609447764602851,Normal
2025-11-02 01:00:00,95,98,low,7.566146972974269,Normal
2025-11-02 02:00:00,72,98,moderate,7.247434561387264,Normal
2025-11-02 03:00:00,67,94,high,7.234327603563251,Normal
2025-11-02 04:00:00,86,92,moderate,6.006661207625802,Normal
2025-11-02 05:00:00,71,96,high,6.506842489209921,Normal
2025-11-02 06:00:00,69,90,moderate,5.725309435509436,Anomaly
2025-11-02 07:00:00,88,99,low,6.842966600247541,Normal
2025-11-02 08:00:00,78,92,moderate,7.287732724951216,Normal
2025-11-02 09:00:00,82,92,low,5.828916608472623,Normal
2025-11-02 10:00:00,75,92,high,6.4387753656717805,Normal
2025-11-02 11:00:00,98,98,high,5.964687420452435,Normal
2025-11-02 12:00:00,85,90,low,6.603204059853124,Normal
2025-11-02 13:00:00,90,98,moderate,7.49787385720726,Normal
2025-11-02 14:00:00,90,98,moderate,7.813769097032047,Normal
2025-11-02 15:00:00,86,93,high,5.279815031977364,Normal
2025-11-02 16:00:00,97,95,low,7.454514673383315,Normal
2025-11-02 17:00:00,94,91,low,7.555537409425243,Normal
2025-11-02 18:00:00,93,90,moderate,6.485270845353725,Normal
2025-11-02 19:00:00,89,96,high,6.264041208810205,Normal
2025-11-02 20:00:00,92,90,high,7.818003458971958,Anomaly
2025-11-02 21:00:00,68,98,moderate,5.121944829461645,Normal
2025-11-02 22:00:00,75,93,low,6.44947061553304,Normal
2025-11-02 23:00:00,85,93,low,5.2647253469213275,Normal
2025-11-03 00:00:00,67,97,high,5.075833166604559,Normal
2025-11-03 01:00:00,81,99,moderate,6.859613841364887,Normal
2025-11-03 02:00:00,82,94,moderate,7.354078906716682,Normal
2025-11-03 03:00:00,73,93,high,6.362398323497874,Normal
2025-11-03 04:00:00,63,96,low,6.2970162394380145,Normal
2025-11-03 05:00:00,72,97,moderate,5.616224457616614,Normal
2025-11-03 06:00:00,67,96,moderate,7.139758356982303,Normal
2025-11-03 07:00:00,68,92,moderate,7.627831935824145,Normal
2025-11-03 08:00:00,81,93,moderate,6.414872362432563,Normal
2025-11-03 09:00:00,72,91,low,7.427470567678594,Normal
2025-11-03 10:00:00,67,94,low,5.184757304075929,Normal
2025-11-03 11:00:00,60,95,high,5.206212194799064,Anomaly
2025-11-03 12:00:00,97,92,low,5.722828005605754,Normal
2025-11-03 13:00:00,79,94,moderate,6.158134590627007,Normal
2025-11-03 14:00:00,82,90,low,7.965561801759906,Normal
2025-11-03 15:00:00,79,99,moderate,6.1536084920238,Normal
2025-11-03 16:00:00,62,95,high,5.098028743950043,Normal
2025-11-03 17:00:00,96,92,low,5.960697234708566,Normal
2025-11-03 18:00:00,88,99,high,6.544259365783064,Normal
2025-11-03 19:00:00,75,97,moderate,6.336947532776706,Normal
2025-11-03 20:00:00,75,94,high,6.5424061548584795,Normal
2025-11-03 21:00:00,90,97,low,6.767421896694543,Normal
2025-11-03 22:00:00,66,92,moderate,7.967448273772694,Normal
2025-11-03 23:00:00,70,96,high,6.308433450846236,Normal
2025-11-04 00:00:00,91,99,low,7.095259845880129,Normal
2025-11-04 01:00:00,65,93,low,5.285689342413571,Normal
2025-11-04 02:00:00,77,90,moderate,7.900917983435353,Anomaly
2025-11-04 03:00:00,75,93,high,6.198493883625757,Normal
2025-11-04 04:00:00,86,90,high,5.613505605795496,Normal
2025-11-04 05:00:00,82,96,high,7.379440438769466,Normal
2025-11-04 06:00:00,78,96,low,5.738556177577195,Normal
2025-11-04 07:00:00,85,92,low,6.804201408308975,Normal
2025-11-04 08:00:00,69,94,high,7.178081821792344,Normal
2025-11-04 09:00:00,61,97,high,6.922453142489611,Normal
2025-11-04 10:00:00,84,90,low,7.2620979175969165,Normal
2025-11-04 11:00:00,84,96,moderate,7.114496102010614,Normal
